hsgrad,nonwhite,mhs,fhs,income,asvab,nsibs,intact
No,No,No,No,3.08,-1.016,6,No
No,No,No,Yes,2.249,0,3,No
Yes,No,No,No,16,0.526,2,Yes
Yes,No,No,No,6.485,-0.837,2,No
No,No,No,No,4.596,0.866,0,No
Yes,Yes,Yes,Yes,4.08,-0.605,0,No
No,Yes,Yes,No,5.292,-0.741,4,Yes
No,No,No,No,6.5,0.14,2,No
No,Yes,No,Yes,5.55,-1.533,5,Yes
Yes,Yes,No,Yes,0.9,-0.281,3,No
Yes,Yes,Yes,Yes,4.243,-1.596,4,No
Yes,No,No,Yes,10.733,0.922,2,Yes
Yes,No,No,Yes,9.839,-0.792,2,Yes
No,Yes,No,Yes,10,-0.464,2,No
Yes,No,Yes,Yes,9.391,-0.895,2,Yes
Yes,No,No,No,10.614,-0.791,3,Yes
Yes,No,No,No,10.614,0.008,3,Yes
Yes,No,Yes,Yes,0.919,0.076,4,No
Yes,No,Yes,No,13.416,0.284,5,No
Yes,No,Yes,No,10.206,0.751,2,Yes
Yes,No,Yes,No,8.839,0.191,5,Yes
Yes,No,Yes,Yes,12.5,1.27,2,Yes
Yes,No,Yes,Yes,22.361,1.247,2,Yes
Yes,No,Yes,Yes,14.434,0.918,1,No
Yes,No,Yes,Yes,12.06,0.988,9,Yes
Yes,No,No,No,14,1.421,3,No
Yes,No,Yes,No,7.071,0.695,0,No
Yes,No,Yes,Yes,7.757,1.474,3,Yes
Yes,No,Yes,Yes,7.757,1.402,3,Yes
Yes,No,No,Yes,1.633,0.997,4,Yes
Yes,No,No,No,16.667,1.576,6,Yes
No,No,No,No,4,-0.753,4,No
Yes,No,No,Yes,8.944,1.509,2,Yes
Yes,No,Yes,No,13.75,-0.592,1,No
Yes,No,Yes,Yes,8.944,-0.682,2,Yes
Yes,No,No,No,8.485,1.315,5,Yes
Yes,No,No,No,8.485,0.205,5,Yes
Yes,No,No,No,8.485,0.321,5,Yes
Yes,No,Yes,No,8.165,1.402,3,Yes
Yes,No,Yes,No,8.165,0.934,3,Yes
Yes,No,Yes,Yes,6.94,-0.539,3,Yes
Yes,No,Yes,Yes,17,-0.272,2,Yes
Yes,No,Yes,Yes,8,0.243,0,Yes
Yes,No,Yes,No,6.868,0.438,6,No
Yes,No,No,No,10.614,1.161,4,Yes
Yes,No,No,Yes,13.88,0.913,3,Yes
Yes,No,No,Yes,17.321,0,2,Yes
Yes,No,No,Yes,11.5,-0.36,2,Yes
Yes,No,Yes,Yes,8.165,-0.329,3,Yes
Yes,No,Yes,Yes,8.165,-0.051,3,Yes
Yes,No,Yes,Yes,11.263,-0.269,6,Yes
Yes,No,Yes,Yes,11.263,-0.02,6,Yes
Yes,No,Yes,No,14.741,0.236,6,Yes
Yes,No,Yes,No,14.741,0.215,6,Yes
Yes,No,No,No,19.63,1.518,2,Yes
No,Yes,No,No,5,-0.126,3,No
Yes,No,No,No,5.367,1.158,8,Yes
Yes,No,Yes,No,8.083,-1.65,4,No
Yes,No,Yes,Yes,7.666,-0.704,4,Yes
No,No,No,No,9.208,-1.189,4,No
Yes,No,Yes,No,18,1.255,1,Yes
Yes,No,Yes,No,18,1.744,1,Yes
Yes,No,Yes,Yes,9.5,1.693,2,Yes
Yes,No,Yes,No,7.137,0.703,2,No
Yes,No,Yes,Yes,8.573,0.711,6,Yes
Yes,No,Yes,Yes,18,0.465,1,Yes
Yes,No,Yes,Yes,10.51,-0.149,4,Yes
Yes,No,No,Yes,15.011,0.991,4,Yes
Yes,No,Yes,No,8.689,1.373,3,Yes
Yes,No,Yes,No,10.392,0.253,2,Yes
Yes,No,Yes,No,10.104,1.641,0,Yes
No,No,No,No,6.205,-1.614,3,Yes
Yes,No,No,No,6.205,-1.657,3,Yes
Yes,No,No,Yes,4.919,0.093,2,Yes
Yes,No,Yes,No,7.603,0.025,2,Yes
Yes,No,No,No,2.57,-1.511,8,Yes
Yes,No,Yes,Yes,10.253,1.345,0,No
Yes,No,No,No,0,1.509,1,Yes
No,No,No,No,14,-0.289,2,No
No,Yes,No,No,8.573,0.254,3,No
Yes,No,No,No,5.814,0.157,2,Yes
Yes,No,Yes,No,13.864,1.661,2,Yes
No,No,Yes,No,8.533,-0.373,1,Yes
Yes,No,Yes,No,14.5,1.568,1,Yes
Yes,No,No,Yes,16.971,-0.182,0,Yes
Yes,No,Yes,Yes,3.13,0.673,3,No
No,No,Yes,Yes,3.13,0.171,3,No
Yes,No,Yes,No,21.939,1.643,1,Yes
Yes,No,Yes,Yes,11.18,0.194,2,Yes
No,No,Yes,No,17,1.285,2,Yes
Yes,No,Yes,No,10.5,0.407,1,No
Yes,No,Yes,No,13.081,0.956,2,Yes
Yes,No,No,No,13.5,0.917,1,Yes
Yes,No,No,No,17.889,0.966,2,Yes
Yes,No,Yes,No,20.412,1.231,3,Yes
Yes,Yes,Yes,No,3.536,-1.311,3,No
Yes,No,No,Yes,8.573,-0.186,3,No
Yes,No,Yes,Yes,13.416,0.307,2,Yes
No,No,Yes,Yes,6.261,0.186,3,No
Yes,No,Yes,Yes,5.367,-0.056,2,Yes
Yes,No,No,No,8.083,1.06,1,No
Yes,No,Yes,No,13.416,1.693,2,Yes
Yes,No,Yes,No,14.311,1.505,2,Yes
Yes,No,No,No,31.754,1.469,4,Yes
Yes,No,Yes,No,6.293,1.415,2,No
Yes,No,Yes,No,11.18,1.337,2,Yes
Yes,No,No,No,18.783,1.504,2,Yes
Yes,No,No,No,18.783,1.358,2,Yes
Yes,No,Yes,No,17.5,1.311,2,Yes
Yes,No,No,Yes,10.286,0.713,2,Yes
Yes,No,Yes,No,11.717,1.828,4,Yes
Yes,No,Yes,No,11.717,1.58,4,Yes
Yes,No,No,No,12.522,1.828,2,Yes
Yes,No,No,No,17.5,0.6,1,Yes
Yes,No,No,No,21.5,1.273,1,Yes
Yes,No,Yes,No,16.33,1.52,4,Yes
Yes,No,Yes,Yes,23.094,1.428,0,Yes
Yes,No,No,No,17.963,1.002,3,Yes
Yes,No,No,No,12.5,0.825,1,Yes
Yes,No,No,No,10.681,0.47,1,Yes
Yes,Yes,No,No,7.155,-0.405,3,Yes
Yes,Yes,No,No,7.155,-1.41,3,Yes
No,Yes,Yes,No,3.667,-1.469,6,Yes
Yes,Yes,Yes,Yes,10,0.568,4,Yes
Yes,No,No,No,9,-0.2,3,No
Yes,No,Yes,No,12.35,0.65,2,Yes
Yes,No,Yes,No,4.041,1.385,0,Yes
Yes,No,Yes,No,11.547,-0.231,0,Yes
Yes,No,Yes,No,4.082,0.188,3,Yes
No,No,No,Yes,4.899,-0.398,4,Yes
Yes,No,No,No,5.879,0.561,3,No
Yes,No,No,Yes,5.969,1.075,3,Yes
Yes,No,No,Yes,9.839,-0.961,2,No
Yes,No,No,Yes,9.839,-0.582,2,No
Yes,Yes,No,No,3.578,-0.597,2,Yes
Yes,No,No,No,15,-0.726,1,Yes
No,No,No,No,0.424,-0.355,4,No
Yes,No,No,Yes,13.5,-1.97,2,Yes
Yes,No,Yes,Yes,5.598,0.967,2,No
Yes,No,Yes,Yes,4.95,-0.233,5,Yes
Yes,No,No,Yes,3.761,0.243,3,Yes
Yes,No,Yes,No,3.761,-0.691,3,Yes
No,No,No,Yes,3.686,-1.524,7,Yes
Yes,No,No,No,33.541,1.373,2,Yes
Yes,No,Yes,No,15,1.15,1,Yes
Yes,No,Yes,No,5.485,1.542,3,Yes
Yes,No,Yes,Yes,16.738,-0.324,2,Yes
Yes,No,Yes,Yes,16.738,0.863,2,Yes
Yes,No,Yes,Yes,12,1.136,1,Yes
Yes,No,No,Yes,2.776,0.334,7,Yes
No,No,No,Yes,2.776,-1.208,7,Yes
No,Yes,No,No,1.581,-1.384,9,No
No,Yes,No,No,3.828,-0.93,4,No
Yes,Yes,No,Yes,9.5,-0.77,2,Yes
Yes,No,Yes,Yes,6.928,0.705,2,Yes
Yes,No,Yes,No,6,-0.099,1,Yes
No,No,Yes,Yes,12.522,-1.178,2,Yes
Yes,No,No,No,21.362,1.335,1,No
Yes,No,Yes,No,3.13,-1.066,4,No
Yes,No,No,No,11.547,0.543,0,Yes
Yes,No,Yes,Yes,4.619,0.799,3,No
Yes,No,No,No,6.047,0.585,4,Yes
Yes,No,No,No,6.047,-2.067,4,Yes
No,No,No,Yes,5.144,-1.581,3,No
No,No,No,No,7.5,0.059,1,Yes
No,No,Yes,No,10.2,-1.359,1,No
No,No,No,No,8.41,-1.273,3,No
No,No,No,Yes,15,-0.536,1,No
Yes,No,Yes,Yes,8.66,0.162,0,Yes
Yes,No,No,No,37.501,0.55,1,No
Yes,No,Yes,No,12.075,1.374,5,Yes
Yes,No,No,No,12.5,1.458,1,Yes
No,Yes,Yes,Yes,0.566,-0.149,7,No
Yes,No,No,No,15.652,1.454,2,Yes
Yes,Yes,Yes,No,4.082,-1.699,4,Yes
No,Yes,Yes,No,1.878,-1.656,2,Yes
Yes,No,Yes,Yes,10.286,0.273,2,Yes
Yes,No,No,No,8.485,1.164,4,No
Yes,No,Yes,No,12.021,0.243,0,Yes
Yes,No,No,No,9,-0.321,1,Yes
Yes,No,Yes,Yes,8.05,0.024,5,Yes
Yes,No,Yes,No,3.578,-1.476,2,No
Yes,No,No,No,16.1,1.456,2,Yes
Yes,No,No,No,16.1,0.505,2,Yes
Yes,No,No,No,1.039,-0.279,6,Yes
Yes,No,No,No,7.826,0.845,2,No
No,No,No,No,3.578,-0.726,6,No
Yes,No,No,Yes,7.615,0.061,3,No
Yes,No,Yes,No,10,1.596,3,Yes
Yes,No,Yes,Yes,6.261,1.409,5,No
Yes,No,Yes,Yes,6.261,0.947,3,No
Yes,No,Yes,No,4.472,1.287,2,Yes
Yes,No,Yes,No,4.472,0.238,2,Yes
Yes,No,Yes,No,15,1.401,1,Yes
Yes,No,No,No,15,0.674,1,Yes
Yes,Yes,No,No,3.182,-1.511,6,Yes
Yes,Yes,No,No,3.182,-1.118,6,No
No,Yes,No,No,3.182,-1.079,6,Yes
Yes,Yes,Yes,Yes,5.669,0.89,4,Yes
Yes,Yes,No,No,7.217,-0.972,5,No
Yes,No,Yes,Yes,6.261,1.001,4,No
Yes,No,Yes,No,13.856,-1.257,1,Yes
No,No,Yes,No,6.406,0.086,6,No
Yes,No,No,No,5.367,0.374,2,Yes
Yes,No,No,No,9,0.109,2,Yes
Yes,No,No,No,9,-0.082,2,Yes
No,No,No,Yes,10.607,0.265,1,No
Yes,No,No,No,5.715,1.204,3,No
Yes,No,Yes,Yes,21.362,1.667,2,Yes
No,No,No,No,6.708,0,8,Yes
Yes,No,Yes,No,10.286,-0.574,2,Yes
Yes,No,No,No,25,0.468,3,Yes
No,No,No,Yes,10,0.222,3,Yes
Yes,No,No,No,14.289,1.277,3,Yes
Yes,No,Yes,No,12.247,0.549,3,Yes
Yes,Yes,Yes,No,4.95,-0.912,5,Yes
Yes,No,Yes,Yes,0,0.364,3,Yes
Yes,No,No,No,4.619,0.197,1,Yes
Yes,No,No,No,5,1.535,3,No
Yes,Yes,No,No,5.367,0.941,4,No
No,No,No,No,4.919,-1.094,4,No
Yes,No,Yes,No,13.279,1.201,1,No
No,No,No,No,11.18,-1.057,2,Yes
Yes,No,Yes,Yes,5.774,0.041,1,No
Yes,No,Yes,No,15.652,0.513,2,Yes
Yes,No,Yes,Yes,8.7,1.214,1,No
Yes,Yes,Yes,No,23,1.538,1,Yes
Yes,Yes,Yes,No,6,0.48,2,No
Yes,Yes,No,No,3.354,0.499,4,No
No,No,Yes,No,3.062,-1.791,4,Yes
Yes,No,Yes,Yes,6.708,-0.423,2,Yes
Yes,No,Yes,Yes,3.462,0.213,4,No
Yes,Yes,Yes,No,15.652,0.47,2,No
Yes,No,No,No,18.5,0,1,No
Yes,No,No,No,16.166,1.137,1,Yes
Yes,No,Yes,Yes,5.196,-0.396,1,No
Yes,No,No,No,2.012,-1.485,3,No
Yes,No,Yes,No,17.321,1.267,2,Yes
Yes,No,Yes,No,11.339,0.16,4,Yes
Yes,No,No,Yes,13.279,0.006,0,Yes
Yes,No,Yes,Yes,11.547,1.105,3,No
Yes,No,No,No,13,0.03,1,Yes
Yes,No,Yes,Yes,12.5,0.985,3,Yes
Yes,No,No,No,5.824,0.68,10,Yes
Yes,No,No,No,2.254,1.194,2,Yes
Yes,No,No,Yes,15,0.11,2,Yes
No,No,No,No,11.547,-0.586,6,No
Yes,No,Yes,Yes,10,1.187,2,No
No,No,No,No,2.268,-1.104,5,No
No,No,No,No,2.268,-1.865,5,No
Yes,No,No,No,6.5,0.829,3,No
Yes,No,Yes,No,10,-0.967,1,Yes
Yes,No,No,No,20,0.708,1,Yes
Yes,No,No,No,20,0.211,1,Yes
Yes,No,Yes,No,20.412,1.417,3,Yes
Yes,No,Yes,No,6.351,-0.565,1,No
Yes,No,Yes,No,11.18,0.362,2,Yes
No,No,Yes,No,2.828,-0.499,2,Yes
Yes,No,No,No,12.355,1.46,6,No
Yes,No,No,No,13.229,0.824,4,Yes
Yes,No,No,No,22.361,0.862,2,Yes
Yes,No,Yes,No,12.522,-0.538,2,Yes
Yes,No,Yes,Yes,0.894,1.388,2,Yes
Yes,No,No,No,4.965,0.167,6,Yes
Yes,No,Yes,No,20,1.04,1,Yes
Yes,No,No,Yes,12.5,0.891,1,Yes
Yes,No,No,No,11.18,0.85,3,Yes
Yes,No,No,No,13.416,1.296,2,Yes
Yes,No,Yes,No,11.18,0.47,2,Yes
Yes,No,No,No,35,0.458,1,Yes
No,Yes,No,No,6.957,-1.423,7,Yes
Yes,No,Yes,Yes,12.5,0.005,1,Yes
Yes,No,Yes,No,3.831,-0.718,5,Yes
No,No,No,Yes,1.49,-1.072,1,No
Yes,No,Yes,Yes,13.856,-0.218,0,Yes
Yes,No,No,No,8.05,-1.051,5,Yes
Yes,No,No,No,6.928,0.437,6,No
Yes,No,Yes,Yes,14.289,0.363,3,Yes
Yes,No,No,No,16,1.828,1,Yes
Yes,No,No,No,11.5,1.429,1,Yes
Yes,No,Yes,Yes,13.5,0.592,3,Yes
Yes,No,Yes,No,9.238,0.393,3,Yes
No,No,No,No,4.023,-1.25,8,No
Yes,No,No,No,3.024,-0.81,4,Yes
Yes,No,No,No,10.5,-1.314,1,Yes
Yes,No,Yes,Yes,12.522,0.836,4,Yes
Yes,No,Yes,Yes,6.124,1.295,3,Yes
Yes,No,Yes,Yes,6.124,0.582,3,Yes
No,No,Yes,No,12.075,1.329,2,Yes
Yes,No,Yes,No,19,0.913,1,Yes
Yes,No,No,No,7.5,0.265,1,Yes
Yes,No,No,No,5,1.407,6,No
Yes,No,No,No,9.827,1.213,4,Yes
Yes,No,No,No,9.827,1.264,4,Yes
Yes,No,No,No,9.827,1.396,4,Yes
Yes,No,No,No,9.827,1.319,4,Yes
Yes,No,No,Yes,3.78,1.392,2,Yes
Yes,No,Yes,Yes,8.165,0.147,5,No
Yes,No,No,Yes,8.165,1.079,3,Yes
Yes,No,Yes,No,5.374,1.292,2,No
Yes,No,No,Yes,5,0.083,3,Yes
Yes,No,Yes,No,5.715,-1.103,3,Yes
Yes,No,Yes,No,6.94,0.64,3,No
Yes,No,Yes,No,6.94,0.635,3,No
Yes,No,Yes,Yes,13.741,1.013,1,Yes
Yes,No,Yes,Yes,7.115,-0.602,3,No
Yes,No,Yes,Yes,7.115,1.268,8,No
Yes,No,Yes,Yes,4.84,1.02,3,Yes
Yes,No,Yes,No,10.733,0.945,2,Yes
Yes,No,Yes,No,8.165,0.746,5,Yes
Yes,No,Yes,No,10.33,-0.367,1,Yes
Yes,No,No,Yes,4.4,0.899,2,Yes
Yes,No,Yes,Yes,6.124,1.133,3,Yes
Yes,No,Yes,Yes,6.124,0.196,3,Yes
No,No,No,No,5.544,-1.392,7,No
No,No,No,No,4.041,-0.907,7,Yes
No,No,No,No,3.176,-1.518,6,Yes
Yes,No,No,No,2.907,-0.978,4,Yes
Yes,Yes,Yes,Yes,2.885,0.535,2,No
No,No,No,No,4.157,-0.747,9,Yes
No,No,Yes,No,8.497,-1.331,2,Yes
Yes,No,No,No,37.501,1.073,2,Yes
Yes,No,No,No,43.302,0.414,2,Yes
Yes,No,No,No,22.5,1.215,1,Yes
Yes,Yes,Yes,Yes,8.944,0.461,2,Yes
Yes,No,No,No,43.302,1.828,1,Yes
No,No,No,No,7,-0.401,2,No
Yes,No,No,No,2.776,-1.476,5,Yes
Yes,No,Yes,Yes,11.18,0.401,2,Yes
Yes,No,No,No,11.5,1.006,1,Yes
Yes,No,Yes,Yes,11.5,0.24,1,Yes
Yes,No,No,No,11.547,0.378,1,No
Yes,No,Yes,No,5.883,-0.609,6,Yes
Yes,No,Yes,Yes,9.391,-0.515,2,Yes
Yes,No,Yes,No,7.071,-0.875,8,Yes
No,No,No,No,4.738,0,1,No
Yes,No,Yes,Yes,1.768,0.755,1,Yes
Yes,No,No,No,11.5,0.267,3,Yes
Yes,No,Yes,No,17.1,0.375,2,No
Yes,No,No,No,12.374,1.541,0,No
Yes,No,No,Yes,8.05,1.12,2,Yes
Yes,No,Yes,No,8.497,0.917,2,Yes
Yes,No,Yes,Yes,5.367,-0.393,5,No
Yes,No,Yes,Yes,5.67,1.164,1,No
Yes,No,Yes,Yes,7.917,-0.632,4,Yes
Yes,No,Yes,Yes,7.917,0.592,4,Yes
Yes,No,Yes,No,1.782,0.665,1,No
Yes,No,Yes,No,5.081,-1.098,3,Yes
Yes,Yes,No,No,4.92,0.179,4,Yes
Yes,No,Yes,Yes,10.286,-0.304,6,Yes
Yes,No,No,Yes,11.18,-0.916,2,Yes
Yes,No,No,Yes,6.124,-1.17,3,Yes
Yes,No,No,No,8.944,0.687,2,Yes
No,No,No,No,10.96,-0.92,5,No
Yes,Yes,No,No,4,0.74,6,Yes
Yes,No,No,No,6.708,0.581,2,Yes
Yes,No,No,No,6.708,1.118,2,Yes
Yes,No,No,No,15,0.039,3,Yes
Yes,No,Yes,No,12,-0.042,4,No
Yes,No,Yes,Yes,12,-0.634,4,No
Yes,No,Yes,Yes,9.238,0.284,2,No
No,No,No,No,4.619,-1.057,5,Yes
Yes,No,No,No,2.773,-0.588,6,Yes
Yes,No,No,No,3.266,0.113,4,Yes
Yes,No,Yes,No,3.001,-0.963,3,Yes
Yes,No,No,No,0,0.069,2,Yes
Yes,No,No,No,11.547,-0.755,6,No
Yes,No,No,No,7.181,1.223,4,No
Yes,No,Yes,Yes,5.5,1.166,4,No
Yes,No,No,No,5.92,1.643,2,Yes
No,No,No,No,4.75,-1.247,3,Yes
Yes,No,Yes,Yes,6.798,-0.536,4,Yes
Yes,No,Yes,Yes,12.247,0.782,3,Yes
Yes,No,No,No,5.367,0.566,2,Yes
Yes,No,No,No,5.367,-0.618,2,Yes
Yes,No,Yes,Yes,5.1,0.856,1,Yes
No,No,No,No,4.233,0.044,0,Yes
No,No,No,Yes,8.165,-0.25,3,Yes
Yes,No,No,Yes,8.165,-0.6,3,Yes
Yes,No,No,Yes,8.165,-0.828,3,Yes
Yes,No,No,No,8.165,1.307,3,Yes
Yes,No,No,No,12.728,0.472,3,Yes
Yes,No,No,Yes,12.522,0.42,8,Yes
Yes,No,Yes,No,9.365,0.896,3,Yes
Yes,No,Yes,Yes,6.708,0.75,2,Yes
Yes,No,Yes,Yes,6.708,0.568,2,Yes
Yes,No,No,No,3.578,0.963,3,Yes
Yes,No,No,No,1.695,0.608,1,Yes
No,No,Yes,No,5,-0.762,1,Yes
Yes,No,No,No,8.66,1.105,0,Yes
Yes,No,No,No,2.828,1.172,5,Yes
Yes,No,No,No,2.828,0.546,5,Yes
Yes,No,Yes,Yes,5.715,1.494,3,Yes
Yes,No,Yes,Yes,5.715,1.498,3,Yes
No,No,No,No,2.531,-1.73,4,Yes
Yes,No,Yes,Yes,5.59,0.85,2,Yes
Yes,No,No,No,6.425,1.571,4,Yes
Yes,No,No,No,6.425,1.36,4,Yes
Yes,No,No,No,8.944,-0.27,2,Yes
Yes,No,No,Yes,2,-1.625,4,Yes
No,No,No,No,3.578,-1.285,3,Yes
Yes,No,No,No,8.497,-0.137,3,Yes
No,No,No,No,5.335,-1.781,7,Yes
Yes,No,No,No,3.024,-0.56,4,Yes
No,No,No,No,1.191,-1.505,5,Yes
Yes,No,No,No,1.991,0.319,10,Yes
Yes,Yes,Yes,No,1.461,-0.551,5,No
Yes,No,Yes,Yes,17.25,-0.552,1,Yes
Yes,No,Yes,Yes,17.25,0.36,1,Yes
Yes,No,Yes,No,10.451,0.23,2,Yes
Yes,No,Yes,No,9,0.128,1,Yes
Yes,No,Yes,No,2.907,1.006,2,Yes
Yes,No,Yes,No,7.5,0.506,1,Yes
Yes,No,No,No,3.969,0.084,4,Yes
No,No,No,No,4.419,-1.584,5,No
No,No,No,No,6.333,-1.608,9,Yes
Yes,Yes,No,No,1.508,-1.069,11,Yes
Yes,Yes,No,No,1.508,0.702,11,Yes
Yes,No,Yes,Yes,12.611,-0.192,1,Yes
Yes,No,Yes,No,6.928,1.241,2,Yes
No,No,Yes,No,8.573,-0.094,3,No
No,No,No,No,4.246,-1.291,3,Yes
Yes,No,No,No,2.356,-1.923,3,Yes
Yes,No,Yes,Yes,4.503,1.32,4,Yes
Yes,No,No,Yes,8.315,0.502,3,Yes
No,No,No,Yes,8.315,-0.303,3,Yes
Yes,No,Yes,No,3.464,-0.664,0,Yes
Yes,No,Yes,No,18,-0.113,1,Yes
No,No,No,No,1.5,-1.015,2,Yes
Yes,Yes,No,No,6.973,-0.434,4,Yes
Yes,No,No,No,5.196,-1.737,1,Yes
Yes,Yes,No,No,4.919,-1.062,2,Yes
Yes,Yes,Yes,Yes,3.618,-1.786,8,Yes
Yes,Yes,Yes,Yes,9.449,0.373,4,Yes
Yes,No,Yes,No,8.944,0.183,2,Yes
Yes,No,Yes,No,8.944,-0.219,2,Yes
Yes,No,No,Yes,10.607,0.529,3,Yes
Yes,Yes,No,Yes,5.099,-1.179,3,Yes
Yes,No,Yes,Yes,5.196,0.436,2,No
Yes,No,No,Yes,14.434,1.312,4,Yes
Yes,No,No,No,22.5,1.065,2,Yes
Yes,No,Yes,Yes,21.637,0.777,3,Yes
Yes,No,Yes,No,5.5,0.063,1,Yes
Yes,No,Yes,No,6.505,0.957,3,No
Yes,No,No,No,8.165,0.319,6,No
Yes,No,Yes,Yes,2.557,0.028,3,No
Yes,Yes,No,No,4.249,-0.329,2,Yes
Yes,Yes,Yes,No,4.9,-0.694,5,No
Yes,Yes,Yes,Yes,6,-0.238,1,Yes
No,Yes,No,No,3.406,-1.366,7,No
Yes,Yes,Yes,No,6.803,1.432,5,Yes
Yes,Yes,No,Yes,15.285,1.043,4,Yes
No,Yes,No,No,5.052,-1.402,4,Yes
Yes,Yes,No,Yes,4.899,-1.351,2,Yes
No,Yes,No,No,13.607,-1.503,7,Yes
Yes,Yes,No,Yes,8.165,1.031,2,Yes
Yes,Yes,No,No,8.165,-0.365,4,Yes
No,Yes,No,No,1.273,-1.357,5,No
Yes,Yes,Yes,No,9.961,-0.347,3,Yes
Yes,Yes,No,Yes,6.532,-0.139,6,Yes
Yes,No,Yes,Yes,5.58,-1.575,5,Yes
Yes,Yes,No,No,10.614,1.108,3,Yes
Yes,Yes,No,No,6.364,-0.333,5,Yes
Yes,No,Yes,Yes,3.5,0.715,1,No
Yes,Yes,Yes,No,12.5,-0.031,3,Yes
Yes,Yes,No,Yes,3.593,-0.579,7,No
Yes,Yes,Yes,Yes,8,-0.478,4,Yes
No,Yes,No,No,2.944,-1.122,3,No
No,Yes,No,No,1.159,-1.741,3,No
Yes,Yes,Yes,Yes,4.243,-0.394,0,No
Yes,Yes,Yes,Yes,5.814,-0.694,2,Yes
No,Yes,No,Yes,3,-1.433,5,No
No,Yes,Yes,Yes,2.828,-1.793,1,No
Yes,Yes,No,Yes,5.303,-0.338,2,No
No,Yes,No,No,5.5,-0.834,4,No
Yes,Yes,No,No,3.801,-1.132,1,Yes
Yes,Yes,No,No,2.096,-0.041,5,No
Yes,Yes,Yes,Yes,7.865,-1.24,1,Yes
Yes,Yes,No,Yes,2.055,-1.636,8,No
No,Yes,No,Yes,2.055,-1.303,8,No
No,Yes,Yes,Yes,10.607,-1.363,5,No
Yes,Yes,Yes,No,4,0,1,No
Yes,Yes,Yes,Yes,4.899,-0.056,4,No
No,Yes,No,No,3.017,-1.081,12,Yes
No,Yes,No,No,2.33,-1.568,1,No
Yes,No,Yes,Yes,1.245,-1.662,4,No
Yes,Yes,Yes,No,7.348,-0.187,7,Yes
Yes,Yes,Yes,No,7.348,-1.112,7,Yes
No,Yes,No,No,0.787,-0.877,4,No
No,Yes,No,No,0.787,-1.888,4,Yes
Yes,Yes,Yes,Yes,5.367,-0.147,4,Yes
Yes,Yes,No,Yes,11.717,0.555,4,Yes
Yes,Yes,No,Yes,5.594,-0.934,4,No
Yes,Yes,No,Yes,4.472,0.001,3,Yes
Yes,Yes,No,Yes,4.792,-0.101,2,No
Yes,Yes,No,No,10.607,-0.516,3,No
Yes,Yes,No,Yes,4.8,-1.797,2,Yes
Yes,Yes,No,No,10.733,-1.684,2,Yes
No,Yes,No,No,1.134,-1.63,5,No
Yes,Yes,Yes,No,1.342,-0.649,2,Yes
Yes,Yes,Yes,No,1.342,0.251,2,Yes
Yes,Yes,No,No,1.732,-1.139,3,Yes
Yes,Yes,No,No,5.715,-1.633,9,Yes
Yes,Yes,No,No,3.674,-1.739,6,Yes
Yes,Yes,Yes,Yes,3.674,-1.992,6,Yes
Yes,Yes,Yes,No,5.276,-1,8,Yes
No,Yes,Yes,No,5.276,-0.683,8,Yes
No,Yes,Yes,No,5.276,-1.085,8,Yes
Yes,Yes,Yes,Yes,7.603,-0.946,2,No
No,Yes,No,No,3.042,-1.8,2,No
Yes,Yes,Yes,Yes,4.039,-1.098,6,No
Yes,Yes,Yes,No,6.425,0.006,5,No
Yes,Yes,No,No,6.01,0.541,0,No
Yes,Yes,No,No,2.694,-0.885,7,No
Yes,Yes,Yes,No,0.707,-0.756,6,Yes
Yes,Yes,No,No,3.479,-0.79,13,Yes
Yes,Yes,No,Yes,1.633,-0.465,4,No
Yes,No,No,No,3.674,-1.387,3,Yes
Yes,Yes,Yes,No,4,-0.945,1,Yes
Yes,Yes,No,No,7.621,0.233,6,Yes
Yes,Yes,No,Yes,2.721,-1.05,3,Yes
Yes,Yes,No,Yes,1.897,-0.153,6,No
Yes,Yes,No,No,3.175,-1.302,4,No
No,Yes,No,No,5.443,-1.168,4,Yes
Yes,Yes,No,No,4.251,-1.301,17,Yes
Yes,Yes,No,No,1.259,0.491,7,No
Yes,Yes,No,No,3.415,-0.61,8,No
Yes,Yes,No,No,3.002,-0.148,7,No
Yes,Yes,No,Yes,1.939,-1.068,3,No
Yes,Yes,No,Yes,2.574,-1.802,3,No
No,Yes,No,No,2.449,-1.237,5,No
Yes,Yes,No,No,5.5,-0.59,4,Yes
No,Yes,Yes,Yes,3.266,-1.426,2,No
Yes,Yes,No,No,0.996,-0.136,4,No
Yes,Yes,Yes,Yes,2.236,0.651,3,Yes
Yes,Yes,Yes,No,5.774,-0.724,12,Yes
Yes,Yes,No,No,0.265,1.227,11,No
Yes,Yes,No,No,2.453,-0.934,5,Yes
Yes,Yes,No,Yes,2.453,-1.199,6,No
Yes,Yes,No,Yes,2.242,0,-3,No
Yes,No,No,No,3.005,-0.931,5,Yes
Yes,Yes,No,No,5.814,-1.278,6,Yes
Yes,Yes,No,No,10.84,-0.118,9,No
Yes,Yes,No,No,2.297,-0.978,9,Yes
Yes,Yes,Yes,Yes,7.647,-0.323,4,Yes
Yes,Yes,No,No,3.708,-0.102,3,Yes
Yes,Yes,No,No,2.539,-0.796,5,No
Yes,Yes,No,Yes,2.735,-0.745,4,No
Yes,Yes,No,No,3.394,1.311,0,No
